Sample	CT_bacterial	Bacterial (fg)	Concentration_bacterial (fg/ul)	Log_bacterial	CT_fungal	Concentration_fungal (fg)	Concentration_fungal (fg/ul)	16S copy numbers	Log_16S_copy	Log_Fungal	ITS copy numbers	Log_ITS_copy	Bacterial_ratio	Fungal_ratio
Rhizo_desert	17.00424957	1068088.668	534044.3342	19.02659999	23.66455269	1813.479292	906.7396462	1495324.136	20.51202682	9.824544556	138.9010889	7.117914099	1.850110172	0.540508352
Rhizo_desert	18.04893494	539594.8686	269797.4343	18.0415171	25.37419891	1121.690864	560.845432	755432.8161	19.52694393	9.131459411	85.91445353	6.424828954	1.879444642	0.532072069
Rhizo_desert	18.22611237	449962.9316	224981.4658	17.77944663	23.72035599	1790.899138	895.4495688	629948.1042	19.26487346	9.806468373	137.1715913	7.099837915	1.737796844	0.575441257
Rhizo_desert	19.25344849	174730.3698	87365.18489	16.41477086	22.98819923	3241.333321	1620.66666	246005.0166	17.90832821	10.66237167	248.265712	7.955741214	1.493244372	0.669682752
Rhizo_desert	19.96771812	140881.247	70440.6235	16.10412006	21.68933105	10726.71724	5363.35862	211109.4791	17.68763183	12.38892101	821.5989622	9.682290549	1.277483081	0.782789232
Rhizo_desert	20.14139748	132650.6106	66325.30529	16.01727179	25.92060661	900.5933537	450.2966768	197233.7458	17.58954689	8.81473202	68.97977715	6.108101563	1.733849865	0.576751206
Rhizo_desert	20.15791702	131867.7519	65933.87597	16.00873227	23.16495132	2222.710125	1111.355062	185710.8548	17.50269862	10.1181041	170.2455925	7.411473638	1.529823082	0.653670357
Rhizo_desert	21.22367096	81361.84502	40680.92251	15.31206477	28.8429184	129.7745829	64.88729143	114299.3772	16.80245802	6.01986404	9.939915467	3.313233583	2.323700955	0.430347975
Rhizo_desert	21.94182396	47328.69035	23664.34518	14.53042738	27.09156036	426.7805595	213.3902797	98399.94396	16.58636987	7.73735065	32.68870214	5.030720193	1.777475576	0.562595635
Rhizo_desert	22.2700882	31772.30121	15886.15061	13.95548197	27.10161972	422.710158	211.355079	66260.1665	16.01585421	7.723524971	32.37693503	5.016894514	1.714385184	0.583299488
Rhizo_modern	16.56425667	1290675.803	645337.9016	19.29969523	25.69757843	990.8391098	495.4195549	1806946.125	20.78512206	8.952507005	75.89203352	6.245876547	2.039656463	0.490278642
Rhizo_modern	18.37680244	373730.6275	186865.3138	17.51163927	24.45320702	1494.359506	747.1797531	523222.8785	18.9970661	9.545311552	114.4585237	6.838681094	1.755437872	0.56965844
Rhizo_modern	18.64313507	238996.1452	119498.0726	16.86662782	26.92756844	493.1379828	246.5689914	334594.6033	18.35205465	7.945847567	37.77126271	5.239217109	1.997197883	0.500701512
Rhizo_modern	18.81488419	195513.8611	97756.93057	16.57691137	24.423069	1506.554503	753.2772516	273719.4056	18.06233819	9.557037152	115.3925837	6.850406694	1.664947382	0.600619582
Rhizo_modern	19.43148613	166293.1946	83146.59731	16.3433696	23.15264511	2293.630895	1146.815448	244622.5177	17.90019769	10.16341753	175.6776767	7.45678707	1.553589621	0.643670624
Rhizo_modern	20.73114586	104702.53	52351.26499	15.67593678	23.18202019	2124.342181	1062.171091	162140.4192	17.30688425	10.05280045	162.7112277	7.346169996	1.50875218	0.662799374
Rhizo_modern	20.78585625	102109.8135	51054.90676	15.639762	26.11434364	822.1999214	411.0999607	146583.542	17.1613636	8.683345424	62.97533412	5.976714966	1.7183898	0.58194014
Rhizo_modern	21.04293251	89927.01093	44963.50546	15.4564669	25.0338459	1259.410745	629.7053727	134504.1082	17.03729071	9.298533166	96.46292881	6.591902709	1.597942797	0.625804629
Rhizo_modern	21.1965313	82647.9893	41323.99465	15.3346921	25.43152237	1098.495595	549.2477977	118227.5722	16.851207	9.10131337	84.13784208	6.394682912	1.617085967	0.618396313
Rhizo_modern	21.45739555	70285.67426	35142.83713	15.10094305	27.4355278	287.5981428	143.7990714	113906.583	16.7974916	7.167910549	22.02820587	4.461280092	1.971243802	0.507293922
